# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
46 12 473 463.076 113.534 349.542 0.0092198347
46 13 514 505.977 156.436 349.541 0.0060259179
46 14 560 542.155 192.613 349.542 0.029811424
46 15 575 567.464 217.923 349.541 0.0053165684
46 16 602 579.593 230.052 349.541 0.047002077
46 17 565 578.116 228.576 349.54 0.016104693
46 18 580 564.146 214.605 349.541 0.023530293
46 19 527 540.051 190.511 349.54 0.015945466
46 20 492 508.665 159.125 349.54 0.025999216
46 21 477 474.435 124.895 349.54 0.00061592008
46 22 444 443.778 94.238 349.54 4.6137661e-06
46 23 434 423.522 73.982 349.54 0.010277948
46 24 424 419.376 69.835 349.541 0.0020016368
46 25 430 434.426 84.884 349.542 0.0018338865
46 26 447 469.65 120.108 349.542 0.048027064
46 27 549 518.652 169.11 349.542 0.086220349
46 28 599 570.503 220.961 349.542 0.076023508
46 29 571 616.238 266.696 349.542 0.19158276
46 30 638 649.292 299.751 349.541 0.011936895
46 31 723 665.662 316.122 349.54 0.30777597
47 0 638 653.209 313.572 339.637 0.021654639
47 1 655 634.228 294.591 339.637 0.040393013
47 2 618 601.105 261.468 339.637 0.026721819
47 3 543 558.283 218.646 339.637 0.021865874
47 4 535 510.948 171.311 339.637 0.054156678
47 5 447 464.408 124.771 339.637 0.028369219
47 6 438 423.579 83.942 339.637 0.019468853
47 7 428 391.534 51.897 339.637 0.12448754
47 8 371 368.446 28.808 339.638 0.00061064866
47 9 337 360.745 21.107 339.638 0.052782988
47 10 387 376.013 36.375 339.638 0.011300766
47 11 394 410.043 70.404 339.639 0.024094659
47 12 412 453.05 113.411 339.639 0.15775239
47 13 444 496.049 156.41 339.639 0.25361469
47 14 509 532.34 192.702 339.638 0.050997787
47 15 556 557.735 218.097 339.638 0.00028180493
47 16 553 569.891 230.253 339.638 0.026709167
47 17 596 568.374 228.736 339.638 0.07144727
47 18 577 554.306 214.669 339.637 0.04821384
47 19 560 530.085 190.448 339.637 0.083777547
47 20 504 498.579 158.942 339.637 0.0027511131
47 21 466 464.269 124.632 339.637 0.00028050704
47 22 470 433.568 93.93 339.638 0.12425551
47 23 384 413.296 73.659 339.637 0.080346373
47 24 402 409.18 69.542 339.638 0.0048261244
47 25 435 424.244 84.605 339.639 0.010830567
47 26 458 459.406 119.767 339.639 0.00018506328
47 27 497 508.313 168.674 339.639 0.011981335
47 28 605 560.079 220.44 339.639 0.18890718
47 29 619 605.748 266.11 339.638 0.016440404
47 30 627 638.76 299.121 339.639 0.012946854
47 31 625 655.09 315.452 339.638 0.084760595
48 0 663 654.676 311.352 343.324 0.0064865499
48 1 623 635.739 292.416 343.323 0.015192187
48 2 584 602.746 259.422 343.324 0.032897799
48 3 542 560.139 216.815 343.324 0.030801815
48 4 544 513.099 169.776 343.323 0.089391184
48 5 462 466.896 123.573 343.323 0.0022440495
48 6 426 426.401 83.077 343.324 1.5053531e-05
48 7 394 394.652 51.329 343.323 3.9796494e-05
48 8 366 371.823 28.499 343.324 0.0031742652
48 9 385 364.257 20.933 343.324 0.040280306
48 10 409 379.435 36.11 343.325 0.081828651
48 11 418 413.247 69.922 343.325 0.0021148777
48 12 484 456.067 112.741 343.326 0.07304404
48 13 498 498.949 155.623 343.326 8.4310574e-05
48 14 539 535.172 191.848 343.324 0.0013718085
48 15 534 560.526 217.201 343.325 0.065870833
48 16 588 572.648 229.324 343.324 0.022063761
48 17 589 571.098 227.774 343.324 0.030002174
48 18 542 557.003 213.679 343.324 0.021072004
48 19 556 532.777 189.454 343.323 0.050487779
48 20 495 501.309 157.985 343.324 0.0037262388
48 21 457 467.09 123.767 343.323 0.0095308571
48 22 430 436.5 93.177 343.323 0.0039552718
48 23 432 416.318 72.994 343.324 0.023022502
48 24 394 412.257 68.932 343.325 0.03120387
48 25 443 427.261 83.936 343.325 0.023190168
48 26 442 462.189 118.864 343.325 0.038157441
48 27 491 510.768 167.443 343.325 0.036582644
48 28 545 562.198 218.873 343.325 0.027688888
48 29 592 607.579 264.254 343.325 0.02272107
48 30 616 640.386 297.061 343.325 0.055671223
48 31 653 656.596 313.272 343.324 0.0012105674
49 0 645 647.196 307.543 339.653 0.00045145482
49 1 610 628.403 288.75 339.653 0.031704936
49 2 585 595.71 256.057 339.653 0.010738128
49 3 574 553.54 213.887 339.653 0.039188702
49 4 526 507.039 167.387 339.652 0.033656744
49 5 485 461.41 121.758 339.652 0.052096135
49 6 435 421.453 81.8 339.653 0.017180503
49 7 424 390.162 50.509 339.653 0.10719117
49 8 370 367.705 28.052 339.653 0.00049307729
49 9 354 360.313 20.659 339.654 0.0037309652
49 10 358 375.323 35.668 339.655 0.028092852
49 11 430 408.741 69.086 339.655 0.042309246
49 12 479 451.147 111.492 339.655 0.072626244
49 13 489 493.684 154.029 339.655 0.0020539194
49 14 502 529.647 189.993 339.654 0.071555933
49 15 555 554.825 215.17 339.655 2.866987e-06
49 16 602 566.848 227.194 339.654 0.11567772
49 17 544 565.272 225.619 339.653 0.042361007
49 18 560 551.226 211.573 339.653 0.0072068401
49 19 494 527.126 187.473 339.653 0.10272771
49 20 487 495.862 156.21 339.652 0.0073521289
49 21 473 461.919 122.266 339.653 0.011494962
49 22 409 431.604 91.951 339.653 0.047832185
49 23 391 411.621 71.968 339.653 0.039807882
49 24 387 407.638 67.984 339.654 0.039873544
49 25 428 422.505 82.851 339.654 0.0028267345
49 26 419 457.02 117.365 339.655 0.1353237
49 27 495 505.021 165.366 339.655 0.0094009501
49 28 559 555.851 216.196 339.655 0.0009283141
49 29 628 600.709 261.054 339.655 0.069725
49 30 633 633.14 293.486 339.654 1.8348717e-06
49 31 662 649.145 309.491 339.654 0.015470124
50 0 624 640.15 302.224 337.926 0.024417133
